start,end,text,uncertain,source
0,20.08,小さな石に宿る面影 琥珀のしずく流れる夢,0,vocal_text_raw_time
20.08,29.14,誰も知らない神様の歌,0,vocal_text_raw_time
29.14,33.84,砂に積もる刻の震え,1,vocal_text_raw_time
33.84,38.44,消えてしまったお城の跡,1,vocal_text_raw_time
38.44,42.86,お香の煙空に舞う,1,vocal_text_raw_start
42.94,47.64,昔の名前風がささやく,1,vocal_text_raw_time
47.64,54.14,忘れられた 髪の心,1,vocal_text_raw_time
52.48,60.62,光は遠く 影は近く,0,vocal
60.62,62.9,キタキよく繋ぎ合わせる,1,vocal
62.9,66.2,秘められた力が今目覚める,0,vocal
66.22,77.08,消えてしまった お城の跡,1,vocal_text_raw_time
72.5,77.04,昔の名前 風が捧ぐ,1,vocal
77.08,81.88,忘れられた永遠の眠り,0,vocal_text_raw_time
81.88,85.86,実らせてさよならの前に,0,vocal_text_raw_time
85.86,86.88,琥珀の空,1,vocal_text_raw_time
