start,end,text,uncertain,source
0,17,うららかに風抜けて 桃色の夢咲いた,0,vocal_text_raw_time
17,21,市場の子 夢咲いた,0,vocal_text_raw_time
21,29,市場の鼓動 響き合い 今日が始まるよ,0,vocal_text_raw_time
29,37,陽光の長辺踊れ 空を黄金に染めて,0,vocal_text_raw_time
37,45.14,うららかな心弾む 春よここに集まれ,0,vocal_text_raw_time
45.14,49.16,春よここに集まれ,0,vocal_text_raw_time
49.16,56.74,桃色の香り誘われ 迷い方のたそり人,0,vocal_text_raw_time
56.74,60.74,ねじい頬の旅人,1,vocal_text_raw_time
60.74,64.74,メルシは高く舞う歌,0,vocal_text_raw_time
64.74,72.74,手拍子鳴らして,1,vocal_text_raw_time
68.74,73.58,うららかななときとまる,0,vocal_text_raw_start
72.74,78.74,桃色のしずく落ちる,0,vocal_text_raw_time
78.74,83.44,陽光の長辺踊れ,0,vocal_text_raw_start
82.74,88.74,明日へつながる松,1,vocal_text_raw_time
