start,end,text,uncertain,source,checked
14,19,海猫さえず 潮風渡る,1,raw_rescue,
19,24,空色の方が 夢を運ぶ,1,raw_rescue,
24,29,キラキラ光る 波場の輝き,1,raw_rescue,
29,35,白い雲 追いかけ どこまでも,0,vocal_text_raw_start,
34.3,38.26,白い追いかけ 追いかけ どこまでも,0,vocal_text_raw_time,
38.26,43.8,空渡る船 輝く未来へ,0,vocal_text_raw_start,
43.8,49,風を掴んで 飛び立とう,0,vocal_text_raw_start,
48.06,54.32,青く澄み渡る 世界の向こう側,0,vocal_text_raw_time,
54.32,58,希望の歌 希望の輪,0,vocal_text_raw_start,
54.32,62,響き渡る,0,vocal_text_raw_time,
62,67.16,静かに響く波の子守唄,1,vocal_text_raw_time,
67.16,72,旅の終わりを告げる音,0,vocal_text_raw_start,
78.36,83,また会える日まで忘れはしない,1,vocal_text_raw_start,
88,88.65,ありがとうございました。,1,vocal,
