start,end,text,uncertain,source,checked
0,12.94,スイカの香り 風にのり,0,vocal_text_raw_start,1
12.94,16.56,くすぐる 歌い いたずら飛び出す,1,vocal,1
16.56,19.52,君の影 追い出す,1,vocal,1
19.52,22.64,聞いて くるくる,1,vocal,1
22.64,26.06,魔法の種贈る,1,vocal,1
26.06,28.86,魔法の種をまいて,1,vocal,1
30,35.8,明るい日差し捕まえて どこかで笑ってる,0,vocal_text_raw_start,1
35.8,42.8,きらめくスイカの粒となり,0,vocal_text_raw_time,1
42.8,49.14,いたずらな心 織るよ,0,vocal_text_raw_time,1
49.14,52.58,くすぐる 歌い 風が吹く,1,vocal_text_raw_time,1
52.58,56.28,君の耳元でささやく,0,vocal_text_raw_time,1
56.28,59.06,ドキドキするるこの地,0,vocal_text_raw_time,1
59.06,62.94,この気持ち,0,vocal_text_raw_start,1
62.94,65.7,風に溶け込む,0,vocal,1
65.7,68.32,溶け込むいたずら,0,vocal,1
68.32,76.22,また遊ぼうね,0,vocal_text_raw_time,1
73,76.22,いたずらな風と,0,vocal_text_raw_time,1
